es_ID,paper_ID,cohort_ID,species_ID,species_common,species_latin,taxa,sex,n,k,est,R,fixed_yn,fixed_var,method,annual_event,location,country,long,lat,tag_period,notes,data_location,data_presentation,title,pub_year,authors,journal,DOI,Papers for Data Extraction::fulltext_ID
es065,p023,c040,s026,Egyptian vulture,Neophron percnopterus,Landbird,B,6,4.2,ICC,0.705,N,NA,Satellite,Depart_breed,Castellón and Guadalajara provinces (Spain),Europe,-1.443056,40.432837,Breeding,,"Table 2, p. 647",text,Individual repeatability in timing and spatial flexibility of migration routes of trans-Saharan migratory raptors,2014,"Lopez-Lopez, P. and Garcia-Ripolles, C. and Urios, V.",Current Zoology,10.1093/czoolo/60.5.642,ft075
es066,p024,c041,s009,Emperor goose,Chen canagicus,Waterbird,F,18,2,ICC,0.341,N,NA,Conventional,Arrival_breed,"Kokechik Bay, YKD, Alaska",North America,-165.73,61.67,Breeding,,"Table 2, p. 387",text,Reproductive Ecology of Emperor Geese - Annual and Individual Variation in Nesting,1992,"Petersen, M. R.",Condor,10.2307/1369211,ft122
es067,p025,c042,s038,Eurasian woodcock,Scolopax rusticola,Waterbird,B,5,2.8,ICC,0.13,N,NA,Satellite,Nonbreed_depart,Italian peninsula,Italy,14.26,41.53,Non-breeding,,"Table 5, p. 161",text,Interindividual variation and consistency of migratory behavior in the Eurasian woodcock,2020,"Tedeschi, A. and Sorrenti, M. and Bottazzo, M. and Spagnesi, M. and Telletxea, I. and Ibanez, R. and Tormen, N. and De Pascalis, F. and Guidolin, L. and Rubolini, D.",Current Zoology,10.1093/cz/zoz038,ft087
es068,p025,c042,s038,Eurasian woodcock,Scolopax rusticola,Waterbird,B,8,2.6,ICC,0.89,N,NA,Satellite,Arrival_breed,Italian peninsula,Italy,14.26,41.53,Non-breeding,,"Table 5, p. 161",text,Interindividual variation and consistency of migratory behavior in the Eurasian woodcock,2020,"Tedeschi, A. and Sorrenti, M. and Bottazzo, M. and Spagnesi, M. and Telletxea, I. and Ibanez, R. and Tormen, N. and De Pascalis, F. and Guidolin, L. and Rubolini, D.",Current Zoology,10.1093/cz/zoz038,ft087
es069,p026,c043,s005,Ferruginous hawk,Buteo regalis,Landbird,B,25,2.7,ICC,0.17,N,NA,Satellite,Depart_breed,"Pacific northwest, northern grasslands, northern plains, Mexico (winter)",North America,-121.54,47.48,Both but mainly breeding grounds,,"Table 3, p. 566",text,Repeatability in migration of Ferruginous Hawks (Buteo regalis) and implications for nomadism,2019,"Watson, J. W. and Keren, I. N.",Wilson Journal of Ornithology,10.1676/18-171,ft118
es070,p026,c043,s005,Ferruginous hawk,Buteo regalis,Landbird,B,18,2.6,ICC,0.29,N,NA,Satellite,Nonbreed_arrival,"Pacific northwest, northern grasslands, northern plains, Mexico (winter)",North America,-121.54,47.48,Both but mainly breeding grounds,,"Table 3, p. 566",text,Repeatability in migration of Ferruginous Hawks (Buteo regalis) and implications for nomadism,2019,"Watson, J. W. and Keren, I. N.",Wilson Journal of Ornithology,10.1676/18-171,ft118
es071,p026,c043,s005,Ferruginous hawk,Buteo regalis,Landbird,B,14,2.7,ICC,0.34,N,NA,Satellite,Arrival_breed,"Pacific northwest, northern grasslands, northern plains, Mexico (winter)",North America,-121.54,47.48,Both but mainly breeding grounds,,"Table 3, p. 566",text,Repeatability in migration of Ferruginous Hawks (Buteo regalis) and implications for nomadism,2019,"Watson, J. W. and Keren, I. N.",Wilson Journal of Ornithology,10.1676/18-171,ft118
es072,p026,c043,s005,Ferruginous hawk,Buteo regalis,Landbird,B,10,2.6,ICC,0.53,N,NA,Satellite,Nonbreed_depart,"Pacific northwest, northern grasslands, northern plains, Mexico (winter)",North America,-121.54,47.48,Both but mainly breeding grounds,,"Table 3, p. 566",text,Repeatability in migration of Ferruginous Hawks (Buteo regalis) and implications for nomadism,2019,"Watson, J. W. and Keren, I. N.",Wilson Journal of Ornithology,10.1676/18-171,ft118
es073,p027,c044,s001,Great reed warbler,Acrocephalus arundinaceus,Landbird,M,7,2.3,ICC,-0.36,N,NA,GLS,Depart_breed,"Lake Kvismaren, Sweden",Europe,15.400516,59.169557,Breeding,,"p. 96, text, results",text,"Individual consistency of long-distance migration in a songbird: significant repeatability of autumn route, stopovers and wintering sites but not in timing of migration",2017,"Hasselquist, D. and Montras-Janer, T. and Tarka, M. and Hansson, B.",Journal of Avian Biology,10.1111/jav.01292,ft073
es074,p027,c044,s001,Great reed warbler,Acrocephalus arundinaceus,Landbird,M,4,2.3,ICC,0.23,N,NA,GLS,Nonbreed_depart,"Lake Kvismaren, Sweden",Europe,15.400516,59.169557,Breeding,,"p. 96, text, results",text,"Individual consistency of long-distance migration in a songbird: significant repeatability of autumn route, stopovers and wintering sites but not in timing of migration",2017,"Hasselquist, D. and Montras-Janer, T. and Tarka, M. and Hansson, B.",Journal of Avian Biology,10.1111/jav.01292,ft073
es075,p027,c044,s001,Great reed warbler,Acrocephalus arundinaceus,Landbird,M,4,2.3,ICC,0.25,N,NA,GLS,Arrival_breed,"Lake Kvismaren, Sweden",Europe,15.400516,59.169557,Breeding,,"p. 97, text, results",text,"Individual consistency of long-distance migration in a songbird: significant repeatability of autumn route, stopovers and wintering sites but not in timing of migration",2017,"Hasselquist, D. and Montras-Janer, T. and Tarka, M. and Hansson, B.",Journal of Avian Biology,10.1111/jav.01292,ft073
es076,p028,c045,s002,Greater snow goose,Anser caerulescens atlanticus,Waterbird,B,20,2.1,ICC,0.42,N,NA,Conventional,Arrival_breed,"Bylot Island migratory bird sanctuary, Canada",North America,-78.49,73.21,both?,,"Table 2, p. 4",text,Individual variation in timing of migration: causes and reproductive consequences in greater snow geese (Anser caerulescens atlanticus),2004,"Bety, J. and Giroux, J. F. and Gauthier, G.",Behavioral Ecology and Sociobiology,10.1007/s00265-004-0840-3,ft080
es077,p029,c046,s032,Grey petrel,Procellaria cinerea,Seabird,B,7,4.3,ICC,0.41,N,NA,GLS,Arrival_breed,"Mayes Island, Kerguelen Islands",Not,69.94,-49.47,Breeding,,"Table 3, p. 99",text,"Individual Consistency in the Non-Breeding Behavior of a Long-Distance Migrant Seabird, the Grey Petrel Procellaria Cinerea",2019,"Delord, K. and Barbraud, C. and Pinaud, D. and Ruault, S. and Patrick, S. C. and Weimerskirch, H.",Marine Ornithology,,ft072
es078,p029,c046,s032,Grey petrel,Procellaria cinerea,Seabird,B,7,4.3,ICC,0.44,N,NA,GLS,Depart_breed,"Mayes Island, Kerguelen Islands",Not,69.94,-49.47,Breeding,,"Table 3, p. 99",text,"Individual Consistency in the Non-Breeding Behavior of a Long-Distance Migrant Seabird, the Grey Petrel Procellaria Cinerea",2019,"Delord, K. and Barbraud, C. and Pinaud, D. and Ruault, S. and Patrick, S. C. and Weimerskirch, H.",Marine Ornithology,,ft072
es079,p029,c046,s032,Grey petrel,Procellaria cinerea,Seabird,B,7,4.3,ICC,0.55,N,NA,GLS,Nonbreed_arrival,"Mayes Island, Kerguelen Islands",Not,69.94,-49.47,Breeding,,"Table 3, p. 99",text,"Individual Consistency in the Non-Breeding Behavior of a Long-Distance Migrant Seabird, the Grey Petrel Procellaria Cinerea",2019,"Delord, K. and Barbraud, C. and Pinaud, D. and Ruault, S. and Patrick, S. C. and Weimerskirch, H.",Marine Ornithology,,ft072
es080,p029,c046,s032,Grey petrel,Procellaria cinerea,Seabird,B,7,4.3,ICC,0.7,N,NA,GLS,Nonbreed_depart,"Mayes Island, Kerguelen Islands",Not,69.94,-49.47,Breeding,,"Table 3, p. 99",text,"Individual Consistency in the Non-Breeding Behavior of a Long-Distance Migrant Seabird, the Grey Petrel Procellaria Cinerea",2019,"Delord, K. and Barbraud, C. and Pinaud, D. and Ruault, S. and Patrick, S. C. and Weimerskirch, H.",Marine Ornithology,,ft072
es081,p030,c047,s044,Hoopoe,Upupa epops,Landbird,B,16,2,ICC,0.24,N,NA,GLS,Nonbreed_depart,southern Switzerland,Europe,7.36,46.23,Breeding,,"Table 2, p. 8683",text,"Repeatability of individual migration routes, wintering sites, and timing in a long-distance migrant bird",2016,"van Wijk, R. E. and Bauer, S. and Schaub, M.",Ecology and Evolution,10.1002/ece3.2578,ft120
es082,p030,c047,s044,Hoopoe,Upupa epops,Landbird,B,12,2,ICC,0.43,N,NA,GLS,Arrival_breed,southern Switzerland,Europe,7.36,46.23,Breeding,,"Table 2, p. 8683",text,"Repeatability of individual migration routes, wintering sites, and timing in a long-distance migrant bird",2016,"van Wijk, R. E. and Bauer, S. and Schaub, M.",Ecology and Evolution,10.1002/ece3.2578,ft120
es083,p030,c047,s044,Hoopoe,Upupa epops,Landbird,B,16,2,ICC,0.73,N,NA,GLS,Nonbreed_arrival,southern Switzerland,Europe,7.36,46.23,Breeding,,"Table 2, p. 8683",text,"Repeatability of individual migration routes, wintering sites, and timing in a long-distance migrant bird",2016,"van Wijk, R. E. and Bauer, S. and Schaub, M.",Ecology and Evolution,10.1002/ece3.2578,ft120
es084,p030,c047,s044,Hoopoe,Upupa epops,Landbird,B,14,2,ICC,0.75,N,NA,GLS,Depart_breed,southern Switzerland,Europe,7.36,46.23,Breeding,,"Table 2, p. 8683",text,"Repeatability of individual migration routes, wintering sites, and timing in a long-distance migrant bird",2016,"van Wijk, R. E. and Bauer, S. and Schaub, M.",Ecology and Evolution,10.1002/ece3.2578,ft120
es085,p031,c048,s022,Marbled godwit,Limosa fedoa,Waterbird,B,5,3.2,ICC,0,N,NA,Satellite,Arrival_breed,"Ugashik Bay, Alaska",North America,-157.39,57.51,Breeding,,"Figure 3. C, p. 6",figure,Flexible timing of annual movements across consistently used sites by Marbled Godwits breeding in Alaska,2019,"Ruthrauff, D. R. and Tibbitts, T. L. and Gill, R. E.",Auk,10.1093/auk/uky007,ft054
es086,p031,c048,s022,Marbled godwit,Limosa fedoa,Waterbird,B,5,3.2,ICC,0.25,N,NA,Satellite,Nonbreed_depart,"Ugashik Bay, Alaska",North America,-157.39,57.51,Breeding,,"Figure 3. C, p. 6",figure,Flexible timing of annual movements across consistently used sites by Marbled Godwits breeding in Alaska,2019,"Ruthrauff, D. R. and Tibbitts, T. L. and Gill, R. E.",Auk,10.1093/auk/uky007,ft054
es087,p031,c048,s022,Marbled godwit,Limosa fedoa,Waterbird,B,5,4,ICC,0.32,N,NA,Satellite,Depart_breed,"Ugashik Bay, Alaska",North America,-157.39,57.51,Breeding,,"Figure 3. C, p. 6",figure,Flexible timing of annual movements across consistently used sites by Marbled Godwits breeding in Alaska,2019,"Ruthrauff, D. R. and Tibbitts, T. L. and Gill, R. E.",Auk,10.1093/auk/uky007,ft054
es088,p031,c048,s022,Marbled godwit,Limosa fedoa,Waterbird,B,5,4,ICC,0.45,N,NA,Satellite,Nonbreed_arrival,"Ugashik Bay, Alaska",North America,-157.39,57.51,Breeding,,"Figure 3. C, p. 6",figure,Flexible timing of annual movements across consistently used sites by Marbled Godwits breeding in Alaska,2019,"Ruthrauff, D. R. and Tibbitts, T. L. and Gill, R. E.",Auk,10.1093/auk/uky007,ft054
es089,p032,c049,s011,Marsh harrier,Circus aeruginosus,Landbird,B,4,4.8,ICC,0.35,N,NA,Satellite,Depart_breed,"Bergslagen, Lindesberg, Sweden",Europe,15.161838,58.797204,Breeding,,"Table 3, p. 181",text,Consistency in long-distance bird migration: contrasting patterns in time and space for two raptors,2016,"Vardanis, Y. and Nilsson, J. A. and Klaassen, R. H. G. and Strandberg, R. and Alerstam, T.",Animal Behaviour,10.1016/j.anbehav.2015.12.014,ft026
es090,p032,c049,s011,Marsh harrier,Circus aeruginosus,Landbird,B,4,4.8,ICC,0.6,N,NA,Satellite,Nonbreed_arrival,"Bergslagen, Lindesberg, Sweden",Europe,15.161838,58.797204,Breeding,,"Table 3, p. 181",text,Consistency in long-distance bird migration: contrasting patterns in time and space for two raptors,2016,"Vardanis, Y. and Nilsson, J. A. and Klaassen, R. H. G. and Strandberg, R. and Alerstam, T.",Animal Behaviour,10.1016/j.anbehav.2015.12.014,ft026
es091,p032,c049,s011,Marsh harrier,Circus aeruginosus,Landbird,B,3,5,ICC,0.63,N,NA,Satellite,Arrival_breed,"Bergslagen, Lindesberg, Sweden",Europe,15.161838,58.797204,Breeding,,"Table 3, p. 181",text,Consistency in long-distance bird migration: contrasting patterns in time and space for two raptors,2016,"Vardanis, Y. and Nilsson, J. A. and Klaassen, R. H. G. and Strandberg, R. and Alerstam, T.",Animal Behaviour,10.1016/j.anbehav.2015.12.014,ft026
es092,p032,c049,s011,Marsh harrier,Circus aeruginosus,Landbird,B,3,5,ICC,0.81,N,NA,Satellite,Nonbreed_depart,"Bergslagen, Lindesberg, Sweden",Europe,15.161838,58.797204,Breeding,,"Table 3, p. 181",text,Consistency in long-distance bird migration: contrasting patterns in time and space for two raptors,2016,"Vardanis, Y. and Nilsson, J. A. and Klaassen, R. H. G. and Strandberg, R. and Alerstam, T.",Animal Behaviour,10.1016/j.anbehav.2015.12.014,ft026
es093,p033,c050,s025,Northern gannet,Morus bassanus,Seabird,B,16,2,ICC,0.01,N,NA,GLS,Depart_breed,Bonaventure Island,North America,-64.15,48.483,Breeding,,"Table 5, p. 29",text,Migratory tactics and wintering areas of northern gannets (morus bassanus) breeding in North America,2014,"Fifield, D. A. and Montevecchi, W. A. and Garthe, S. and Robertson, G. J. and Kubetzki, U. and Rail, J. F.",Ornithological Monographs,,ft109
es094,p033,c050,s025,Northern gannet,Morus bassanus,Seabird,B,14,2,ICC,0.01,N,NA,GLS,Arrival_breed,Bonaventure Island,North America,-64.15,48.483,Breeding,,"Table 5, p. 29",text,Migratory tactics and wintering areas of northern gannets (morus bassanus) breeding in North America,2014,"Fifield, D. A. and Montevecchi, W. A. and Garthe, S. and Robertson, G. J. and Kubetzki, U. and Rail, J. F.",Ornithological Monographs,,ft109
es095,p033,c050,s025,Northern gannet,Morus bassanus,Seabird,B,16,2,ICC,0.42,N,NA,GLS,Nonbreed_arrival,Bonaventure Island,North America,-64.15,48.483,Breeding,,"Table 5, p. 29",text,Migratory tactics and wintering areas of northern gannets (morus bassanus) breeding in North America,2014,"Fifield, D. A. and Montevecchi, W. A. and Garthe, S. and Robertson, G. J. and Kubetzki, U. and Rail, J. F.",Ornithological Monographs,,ft109
es096,p033,c050,s025,Northern gannet,Morus bassanus,Seabird,B,14,2,ICC,0.9,N,NA,GLS,Nonbreed_depart,Bonaventure Island,North America,-64.15,48.483,Breeding,,"Table 5, p. 29",text,Migratory tactics and wintering areas of northern gannets (morus bassanus) breeding in North America,2014,"Fifield, D. A. and Montevecchi, W. A. and Garthe, S. and Robertson, G. J. and Kubetzki, U. and Rail, J. F.",Ornithological Monographs,,ft109
es097,p032,c051,s028,Osprey,Pandion haliaetus,Landbird,B,7,2.9,ICC,0.04,N,NA,Satellite,Nonbreed_arrival,"Bergslagen, Lindesberg, Sweden",Europe,15.161838,58.797204,Breeding,,"Table 3, p. 181",text,Consistency in long-distance bird migration: contrasting patterns in time and space for two raptors,2016,"Vardanis, Y. and Nilsson, J. A. and Klaassen, R. H. G. and Strandberg, R. and Alerstam, T.",Animal Behaviour,10.1016/j.anbehav.2015.12.014,ft026
es098,p032,c051,s028,Osprey,Pandion haliaetus,Landbird,B,4,3.3,ICC,0.07,N,NA,Satellite,Arrival_breed,"Bergslagen, Lindesberg, Sweden",Europe,15.161838,58.797204,Breeding,,"Table 3, p. 181",text,Consistency in long-distance bird migration: contrasting patterns in time and space for two raptors,2016,"Vardanis, Y. and Nilsson, J. A. and Klaassen, R. H. G. and Strandberg, R. and Alerstam, T.",Animal Behaviour,10.1016/j.anbehav.2015.12.014,ft026
es099,p032,c051,s028,Osprey,Pandion haliaetus,Landbird,B,7,2.9,ICC,0.17,N,NA,Satellite,Depart_breed,"Bergslagen, Lindesberg, Sweden",Europe,15.161838,58.797204,Breeding,,"Table 3, p. 181",text,Consistency in long-distance bird migration: contrasting patterns in time and space for two raptors,2016,"Vardanis, Y. and Nilsson, J. A. and Klaassen, R. H. G. and Strandberg, R. and Alerstam, T.",Animal Behaviour,10.1016/j.anbehav.2015.12.014,ft026
es100,p032,c051,s028,Osprey,Pandion haliaetus,Landbird,B,4,3.3,ICC,0.38,N,NA,Satellite,Nonbreed_depart,"Bergslagen, Lindesberg, Sweden",Europe,15.161838,58.797204,Breeding,,"Table 3, p. 181",text,Consistency in long-distance bird migration: contrasting patterns in time and space for two raptors,2016,"Vardanis, Y. and Nilsson, J. A. and Klaassen, R. H. G. and Strandberg, R. and Alerstam, T.",Animal Behaviour,10.1016/j.anbehav.2015.12.014,ft026
es101,p034,c052,s020,Pallas gull,Larus ichthyaetus,Seabird,B,4,3,ICC,-0.07,N,NA,Satellite,Depart_breed,"Qinghai Lake, China",Not,100,36.88,Breeding,,"Table 2, p. 10",text,Detours in long-distance migration across the Qinghai-Tibetan Plateau: Individual consistency and habitat associations,2018,"Liu, D. and Zhang, G. and Jiang, H. and Lu, J.",PeerJ,10.7717/peerj.4304,ft035
es102,p034,c052,s020,Pallas gull,Larus ichthyaetus,Seabird,B,4,2.5,ICC,0.78,N,NA,Satellite,Arrival_breed,"Qinghai Lake, China",Not,100,36.88,Breeding,,"Table 2, p. 10",text,Detours in long-distance migration across the Qinghai-Tibetan Plateau: Individual consistency and habitat associations,2018,"Liu, D. and Zhang, G. and Jiang, H. and Lu, J.",PeerJ,10.7717/peerj.4304,ft035
es103,p034,c052,s020,Pallas gull,Larus ichthyaetus,Seabird,B,4,2.5,ICC,0.84,N,NA,Satellite,Nonbreed_depart,"Qinghai Lake, China",Not,100,36.88,Breeding,,"Table 2, p. 10",text,Detours in long-distance migration across the Qinghai-Tibetan Plateau: Individual consistency and habitat associations,2018,"Liu, D. and Zhang, G. and Jiang, H. and Lu, J.",PeerJ,10.7717/peerj.4304,ft035
es104,p034,c052,s020,Pallas gull,Larus ichthyaetus,Seabird,B,4,3,ICC,0.85,N,NA,Satellite,Nonbreed_arrival,"Qinghai Lake, China",Not,100,36.88,Breeding,,"Table 2, p. 10",text,Detours in long-distance migration across the Qinghai-Tibetan Plateau: Individual consistency and habitat associations,2018,"Liu, D. and Zhang, G. and Jiang, H. and Lu, J.",PeerJ,10.7717/peerj.4304,ft035
es105,p035,c053,s014,Pied flycatcher,Ficedula hypoleuca,Landbird,F,116,2.3,ICC,0.078,Y,Age,Conventional,Arrival_breed,Sinober in Sørkedalen,Europe,10.633,59.983,Breeding,,"p. 992, text, results",text,"Advancement of spring arrival in a long-term study of a passerine bird: sex, age and environmental effects",2017,"Cadahia, L. and Labra, A. and Knudsen, E. and Nilsson, A. and Lampe, H. M. and Slagsvold, T. and Stenseth, N. C.",Oecologia,10.1007/s00442-017-3922-4,ft002
es106,p036,c056,s014,Pied flycatcher,Ficedula hypoleuca,Landbird,M,39,2.3,ICC,0.09,N,NA,Conventional,Arrival_breed,"La Hiruela, Spain",Europe,-3.45,41.066,Breeding,,"p. 704, text, results",text,Arrival time from spring migration in male Pied Flycatchers: Individual consistency and familial resemblance,1998,"Potti, J.",Condor,10.2307/1369752,ft016
es107,p035,c054,s014,Pied flycatcher,Ficedula hypoleuca,Landbird,M,364,2.7,ICC,0.167,Y,Age,Conventional,Arrival_breed,Sinober in Sørkedalen,Europe,10.633,59.983,Breeding,,"p. 992, text, results",text,"Advancement of spring arrival in a long-term study of a passerine bird: sex, age and environmental effects",2017,"Cadahia, L. and Labra, A. and Knudsen, E. and Nilsson, A. and Lampe, H. M. and Slagsvold, T. and Stenseth, N. C.",Oecologia,10.1007/s00442-017-3922-4,ft002
es108,p035,c055,s014,Pied flycatcher,Ficedula hypoleuca,Landbird,B,480,2.6,ICC,0.212,Y,Age,Conventional,Arrival_breed,Sinober in Sørkedalen,Europe,10.633,59.983,Breeding,,"p. 992, text, results",text,"Advancement of spring arrival in a long-term study of a passerine bird: sex, age and environmental effects",2017,"Cadahia, L. and Labra, A. and Knudsen, E. and Nilsson, A. and Lampe, H. M. and Slagsvold, T. and Stenseth, N. C.",Oecologia,10.1007/s00442-017-3922-4,ft002
es109,p037,c057,s014,Pied flycatcher,Ficedula hypoleuca,Landbird,M,307,2.31,ICC,0.27,N,NA,Conventional,Arrival_breed,"Drenthe, The Netherlands",Europe,6.36,52.816,Breeding,,"Table 3, p. 14",text,Repeatability in spring arrival dates in Pied Flycatchers varies among years and sexes,2016,"Both, C. and Bijlsma, R. G. and Ouwehand, J.",Ardea,10.5253/arde.v104i1.a1,ft119
es110,p037,c058,s014,Pied flycatcher,Ficedula hypoleuca,Landbird,F,221,2.39,ICC,0.3,N,NA,Conventional,Arrival_breed,"Drenthe, The Netherlands",Europe,6.36,52.816,Breeding,,"Table 3, p. 14",text,Repeatability in spring arrival dates in Pied Flycatchers varies among years and sexes,2016,"Both, C. and Bijlsma, R. G. and Ouwehand, J.",Ardea,10.5253/arde.v104i1.a1,ft119
es111,p038,c059,s033,Purple martin,Progne subis,Landbird,B,33,2,ICC,0.0009,Y,"Sex, age (fixed), breeding colony, individual, year (random)",GLS,Nonbreed_arrival,,US,-80.09,41.8,Breeding,,"Table 1, p. 3",text,"Individual Variability in Migration Timing Can Explain Long-Term, Population-Level Advances in a Songbird",2019,"Fraser, K. C. and Shave, A. and de Greef, E. and Siegrist, J. and Garroway, C. J.",Frontiers in Ecology and Evolution,10.3389/fevo.2019.00324,ft077
es112,p038,c059,s033,Purple martin,Progne subis,Landbird,B,33,2,ICC,0.001,Y,"Sex, age (fixed), breeding colony, individual, year (random)",GLS,Depart_breed,,US,-80.09,41.8,Breeding,,"Table 1, p. 3",text,"Individual Variability in Migration Timing Can Explain Long-Term, Population-Level Advances in a Songbird",2019,"Fraser, K. C. and Shave, A. and de Greef, E. and Siegrist, J. and Garroway, C. J.",Frontiers in Ecology and Evolution,10.3389/fevo.2019.00324,ft077
es113,p038,c059,s033,Purple martin,Progne subis,Landbird,B,33,2,ICC,0.32,Y,"Sex, age (fixed), breeding colony, individual, year (random)",GLS,Arrival_breed,,US,-80.09,41.8,Breeding,,"Table 1, p. 3",text,"Individual Variability in Migration Timing Can Explain Long-Term, Population-Level Advances in a Songbird",2019,"Fraser, K. C. and Shave, A. and de Greef, E. and Siegrist, J. and Garroway, C. J.",Frontiers in Ecology and Evolution,10.3389/fevo.2019.00324,ft077
es114,p038,c059,s033,Purple martin,Progne subis,Landbird,B,33,2,ICC,0.39,Y,"Sex, age (fixed), breeding colony, individual, year (random)",GLS,Nonbreed_depart,,US,-80.09,41.8,Breeding,,"Table 1, p. 3",text,"Individual Variability in Migration Timing Can Explain Long-Term, Population-Level Advances in a Songbird",2019,"Fraser, K. C. and Shave, A. and de Greef, E. and Siegrist, J. and Garroway, C. J.",Frontiers in Ecology and Evolution,10.3389/fevo.2019.00324,ft077
es115,p039,c060,s018,Red-backed shrike,Lanius collurio,Landbird,M,7,2,ICC,0.38,N,NA,GLS,Depart_breed,"Gribskov, Denmark",Europe,12.28109,55.965809,Breeding,,"Table 1, p. 139",text,Full-year tracking suggests endogenous control of migration timing in a long-distance migratory songbird,2018,"Pedersen, L. and Jackson, K. and Thorup, K. and Tottrup, A. P.",Behavioral Ecology and Sociobiology,10.1007/s00265-018-2553-z,ft055
es116,p040,c061,s034,Round Island petrel,Pterodroma arminjoniana,Seabird,B,76,2.2,ICC,0.787,N,NA,GLS,Depart_breed,Round Island,Mauritius,57.78,-19.85,Breeding,,NA,NA,NA,unpub,"Franklin, K. A.",NA,NA,NA
es117,p040,c061,s034,Round Island petrel,Pterodroma arminjoniana,Seabird,B,62,2.1,ICC,0.813,N,NA,GLS,Arrival_breed,Round Island,Mauritius,57.78,-19.85,Breeding,,NA,NA,NA,unpub,"Franklin, K. A.",NA,MA,NA
es118,p041,c062,s006,Scopoli's shearwater,Calonectris diomedea,Seabird,F,5,2.2,ICC,0,N,NA,GLS,Arrival_breed,"Linosa, Sicily",Europe,12.868,35.864,Breeding,,"Table 3, p. 635",text,Individual consistency and sex differences in migration strategies of Scopoli's shearwaters Calonectris diomedea despite year differences,2014,"Muller, M. S. and Massa, B. and Phillips, R. A. and Dell'Omo, G.",Current Zoology,10.1093/czoolo/60.5.631,ft069
es119,p041,c063,s006,Scopoli's shearwater,Calonectris diomedea,Seabird,M,7,2.1,ICC,0.199,N,NA,GLS,Arrival_breed,"Linosa, Sicily",Europe,12.868,35.864,Breeding,Unsure if they have fixed effect,"Table 3, p. 635",text,Individual consistency and sex differences in migration strategies of Scopoli's shearwaters Calonectris diomedea despite year differences,2014,"Muller, M. S. and Massa, B. and Phillips, R. A. and Dell'Omo, G.",Current Zoology,10.1093/czoolo/60.5.631,ft069
es120,p041,c062,s006,Scopoli's shearwater,Calonectris diomedea,Seabird,F,5,2.2,ICC,0.356,N,NA,GLS,Depart_breed,"Linosa, Sicily",Europe,12.868,35.864,Breeding,,"Table 3, p. 635",text,Individual consistency and sex differences in migration strategies of Scopoli's shearwaters Calonectris diomedea despite year differences,2014,"Muller, M. S. and Massa, B. and Phillips, R. A. and Dell'Omo, G.",Current Zoology,10.1093/czoolo/60.5.631,ft069
es121,p041,c063,s006,Scopoli's shearwater,Calonectris diomedea,Seabird,M,7,2.1,ICC,0.416,N,NA,GLS,Depart_breed,"Linosa, Sicily",Europe,12.868,35.864,Breeding,,"Table 3, p. 635",text,Individual consistency and sex differences in migration strategies of Scopoli's shearwaters Calonectris diomedea despite year differences,2014,"Muller, M. S. and Massa, B. and Phillips, R. A. and Dell'Omo, G.",Current Zoology,10.1093/czoolo/60.5.631,ft069
es122,p042,c064,s007,Streaked shearwater,Calonectris leucomelas,Seabird,F,10,2,r,-0.48,N,NA,GLS,Depart_breed,"Sangan Island, Mikura Island and Awa Island, Japan",Not,141.98,39.31,Breeding,,"Figure 3. A, p. 694",text,Individual consistency in migratory behaviour of a pelagic seabird,2014,"Yamamoto, T. and Takahashi, A. and Sato, K. and Oka, N. and Yamamoto, M. and Trathan, P. N.",Behaviour,10.1163/1568539X-00003163,ft070
es123,p042,c065,s007,Streaked shearwater,Calonectris leucomelas,Seabird,M,12,2,r,-0.41,N,NA,GLS,Depart_breed,"Sangan Island, Mikura Island and Awa Island, Japan",Not,141.98,39.31,Breeding,,"Figure 3. A, p. 694",text,Individual consistency in migratory behaviour of a pelagic seabird,2014,"Yamamoto, T. and Takahashi, A. and Sato, K. and Oka, N. and Yamamoto, M. and Trathan, P. N.",Behaviour,10.1163/1568539X-00003163,ft070
es124,p042,c066,s007,Streaked shearwater,Calonectris leucomelas,Seabird,M,11,2,r,-0.3,N,NA,GLS,Depart_breed,"Sangan Island, Mikura Island and Awa Island, Japan",Not,141.98,39.31,Breeding,,"Figure 3. A, p. 694",text,Individual consistency in migratory behaviour of a pelagic seabird,2014,"Yamamoto, T. and Takahashi, A. and Sato, K. and Oka, N. and Yamamoto, M. and Trathan, P. N.",Behaviour,10.1163/1568539X-00003163,ft070
es125,p042,c065,s007,Streaked shearwater,Calonectris leucomelas,Seabird,M,13,2,r,-0.24,N,NA,GLS,Arrival_breed,"Sangan Island, Mikura Island and Awa Island, Japan",Not,141.98,39.31,Breeding,,"Figure 3. D, p. 694",text,Individual consistency in migratory behaviour of a pelagic seabird,2014,"Yamamoto, T. and Takahashi, A. and Sato, K. and Oka, N. and Yamamoto, M. and Trathan, P. N.",Behaviour,10.1163/1568539X-00003163,ft070
es126,p042,c067,s007,Streaked shearwater,Calonectris leucomelas,Seabird,F,11,2,r,-0.15,N,NA,GLS,Depart_breed,"Sangan Island, Mikura Island and Awa Island, Japan",Not,141.98,39.31,Breeding,,"Figure 3. A, p. 694",text,Individual consistency in migratory behaviour of a pelagic seabird,2014,"Yamamoto, T. and Takahashi, A. and Sato, K. and Oka, N. and Yamamoto, M. and Trathan, P. N.",Behaviour,10.1163/1568539X-00003163,ft070
